epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.4975,3.18969,5.51494,2.50817,0.00032,0.02778,0.00033,0.00017,2.59453,5.40418,2.65203,3.75e-05,3.75e-05,3.75e-05
2,125.936,2.68413,4.88,2.22883,0.0014,0.07937,0.00109,0.00045,2.6963,4.82428,2.73975,8.66338e-05,8.66338e-05,8.66338e-05
3,169.977,2.69659,4.08204,2.18651,0.35094,0.03571,0.01179,0.00605,2.72525,5.02836,2.76531,0.000134777,0.000134777,0.000134777
4,219.144,2.6174,3.90364,2.10333,0.40192,0.03571,0.01938,0.0076,2.75636,6.06384,2.79911,0.000181931,0.000181931,0.000181931
5,262.386,2.47271,3.57071,2.08767,0.38506,0.04762,0.02359,0.01076,2.73762,4.94521,2.78837,0.000228095,0.000228095,0.000228095
6,304.741,2.3465,3.11222,1.94895,0.37625,0.07143,0.02701,0.01196,2.70743,4.51801,2.71146,0.000273269,0.000273269,0.000273269
7,347.591,2.26787,3.00068,1.92931,0.40419,0.11508,0.02552,0.00886,2.64868,4.28129,2.5666,0.000317452,0.000317452,0.000317452
8,390.79,2.19692,2.97057,1.94597,0.07097,0.08333,0.02687,0.00945,2.65964,4.08103,2.58966,0.000360646,0.000360646,0.000360646
9,433.211,2.28571,2.88229,1.84734,0.06256,0.04762,0.03476,0.01438,2.69813,3.81705,2.70511,0.00040285,0.00040285,0.00040285
10,475.601,2.22608,3.03751,1.90099,0.09976,0.08333,0.04344,0.01779,2.8441,3.67008,2.87364,0.000444064,0.000444064,0.000444064
11,517.592,2.0366,2.42647,1.66368,0.79993,0.04762,0.03605,0.01468,2.9928,3.8776,3.08969,0.000484288,0.000484288,0.000484288
12,559.392,2.11529,2.7326,1.86754,0.06605,0.07143,0.04204,0.01832,2.9993,3.89306,3.01937,0.000523521,0.000523521,0.000523521
13,602.925,2.07655,2.43219,1.70502,0.11153,0.04762,0.04541,0.01579,2.92038,3.79073,2.87833,0.000561765,0.000561765,0.000561765
14,644.506,1.87689,2.28668,1.51863,0.03785,0.03063,0.01507,0.00524,2.87245,3.94504,2.73745,0.000599019,0.000599019,0.000599019
15,687.526,1.91936,2.31958,1.64758,0.03187,0.04762,0.01702,0.00631,2.87536,3.88421,2.6356,0.000635282,0.000635282,0.000635282
16,728.968,1.98997,2.37679,1.6624,0.03187,0.04762,0.01702,0.00631,2.87536,3.88421,2.6356,0.000670556,0.000670556,0.000670556
17,770.931,1.8237,2.5322,1.67635,0.40431,0.05952,0.04091,0.01716,2.76542,3.84123,2.34676,0.00070484,0.00070484,0.00070484
18,811.971,1.96329,2.05839,1.54001,0.44668,0.04762,0.02772,0.01067,2.75692,3.801,2.26045,0.000738134,0.000738134,0.000738134
19,854.283,1.99769,2.3413,1.74702,0.44668,0.04762,0.02772,0.01067,2.75692,3.801,2.26045,0.000770438,0.000770438,0.000770438
20,896.427,1.71184,2.05751,1.50889,0.05368,0.06862,0.02016,0.00572,2.73854,3.73207,2.32302,0.000801751,0.000801751,0.000801751
21,938.587,1.89747,1.96295,1.54078,0.02079,0.08333,0.0107,0.00328,2.68093,4.54472,2.41436,0.000832075,0.000832075,0.000832075
22,980.774,1.85828,2.35774,1.7441,0.02079,0.08333,0.0107,0.00328,2.68093,4.54472,2.41436,0.000861409,0.000861409,0.000861409
23,1023.58,1.75068,2.25326,1.60935,0.13857,0.04762,0.04493,0.01396,2.62601,3.68711,2.43899,0.000889753,0.000889753,0.000889753
24,1076.51,1.80884,2.27836,1.73035,0.13857,0.04762,0.04493,0.01396,2.62601,3.68711,2.43899,0.000917106,0.000917106,0.000917106
25,1119.26,1.86032,2.11801,1.59964,0.09144,0.07143,0.06131,0.02041,2.6134,3.6452,2.44227,0.00094347,0.00094347,0.00094347
26,1161.48,1.82026,2.15128,1.58702,0.09144,0.07143,0.06131,0.02041,2.6134,3.6452,2.44227,0.000940625,0.000940625,0.000940625
27,1203.17,1.77197,2.10858,1.51724,0.05296,0.09524,0.04287,0.01479,2.55798,3.65128,2.32863,0.00092825,0.00092825,0.00092825
28,1245.13,1.76893,2.12435,1.63872,0.05296,0.09524,0.04287,0.01479,2.55798,3.65128,2.32863,0.000915875,0.000915875,0.000915875
29,1286.9,1.61377,1.9901,1.47326,0.03889,0.07143,0.04108,0.01617,2.64582,4.03027,2.35307,0.0009035,0.0009035,0.0009035
30,1328.52,1.69346,1.98965,1.50725,0.03889,0.07143,0.04108,0.01617,2.64582,4.03027,2.35307,0.000891125,0.000891125,0.000891125
31,1370.31,1.67815,1.9919,1.44667,0.10063,0.04762,0.04033,0.01291,2.71321,3.87254,2.39127,0.00087875,0.00087875,0.00087875
32,1412.16,1.64255,1.80469,1.52305,0.10063,0.04762,0.04033,0.01291,2.71321,3.87254,2.39127,0.000866375,0.000866375,0.000866375
33,1453.7,1.72114,2.06302,1.52502,0.03874,0.04762,0.02985,0.00894,2.77841,3.68047,2.50742,0.000854,0.000854,0.000854
34,1495.9,1.80653,1.8553,1.5435,0.03874,0.04762,0.02985,0.00894,2.77841,3.68047,2.50742,0.000841625,0.000841625,0.000841625
35,1537.99,1.76326,1.88336,1.59274,0.08749,0.08333,0.06818,0.01835,2.6935,3.59252,2.56562,0.00082925,0.00082925,0.00082925
36,1580.85,1.63233,1.5735,1.40683,0.08749,0.08333,0.06818,0.01835,2.6935,3.59252,2.56562,0.000816875,0.000816875,0.000816875
37,1623.31,1.56955,1.66242,1.39684,0.45481,0.07143,0.07959,0.02055,2.72351,3.52173,2.62773,0.0008045,0.0008045,0.0008045
38,1665.84,1.59564,1.66826,1.48292,0.45481,0.07143,0.07959,0.02055,2.72351,3.52173,2.62773,0.000792125,0.000792125,0.000792125
39,1707.71,1.70017,1.71965,1.54549,0.23001,0.07977,0.08532,0.02814,2.692,3.39023,2.57591,0.00077975,0.00077975,0.00077975
40,1750.32,1.60849,1.66221,1.46731,0.23001,0.07977,0.08532,0.02814,2.692,3.39023,2.57591,0.000767375,0.000767375,0.000767375
41,1792.24,1.61038,1.73838,1.43323,0.17821,0.08333,0.0939,0.03467,2.66318,3.44814,2.5897,0.000755,0.000755,0.000755
42,1834.81,1.69722,1.77855,1.52206,0.17821,0.08333,0.0939,0.03467,2.66318,3.44814,2.5897,0.000742625,0.000742625,0.000742625
43,1875.99,1.69895,1.6255,1.54728,0.17079,0.10714,0.08637,0.03327,2.67553,3.52926,2.49559,0.00073025,0.00073025,0.00073025
44,1917.99,1.62703,1.5895,1.44912,0.17079,0.10714,0.08637,0.03327,2.67553,3.52926,2.49559,0.000717875,0.000717875,0.000717875
45,1968.58,1.46394,1.57927,1.44383,0.18173,0.10008,0.09235,0.03863,2.7374,3.63981,2.52846,0.0007055,0.0007055,0.0007055
46,2010.76,1.534,1.51657,1.48005,0.18173,0.10008,0.09235,0.03863,2.7374,3.63981,2.52846,0.000693125,0.000693125,0.000693125
47,2052.33,1.44495,1.42926,1.38865,0.10702,0.08333,0.08427,0.03146,2.75449,3.66679,2.5812,0.00068075,0.00068075,0.00068075
48,2094.23,1.51111,1.39276,1.43566,0.10702,0.08333,0.08427,0.03146,2.75449,3.66679,2.5812,0.000668375,0.000668375,0.000668375
49,2135.17,1.36339,1.35371,1.373,0.0877,0.08333,0.0715,0.02232,2.65797,3.62219,2.57079,0.000656,0.000656,0.000656
50,2177.14,1.39832,1.30467,1.39054,0.0877,0.08333,0.0715,0.02232,2.65797,3.62219,2.57079,0.000643625,0.000643625,0.000643625
51,2219.42,1.41987,1.30375,1.33609,0.2104,0.36905,0.14747,0.0342,2.74336,3.56951,2.62978,0.00063125,0.00063125,0.00063125
52,2261.71,1.46573,1.29813,1.30461,0.2104,0.36905,0.14747,0.0342,2.74336,3.56951,2.62978,0.000618875,0.000618875,0.000618875
53,2303.02,1.2848,1.37699,1.38932,0.07739,0.05952,0.07282,0.02783,2.86955,3.41582,2.72465,0.0006065,0.0006065,0.0006065
54,2345.29,1.44542,1.28638,1.33701,0.07739,0.05952,0.07282,0.02783,2.86955,3.41582,2.72465,0.000594125,0.000594125,0.000594125
55,2387.1,1.45238,1.24771,1.34096,0.11621,0.05117,0.06049,0.02147,2.83974,3.50245,2.68552,0.00058175,0.00058175,0.00058175
56,2428.62,1.36719,1.18919,1.33376,0.11621,0.05117,0.06049,0.02147,2.83974,3.50245,2.68552,0.000569375,0.000569375,0.000569375
57,2471.1,1.41088,1.16738,1.25348,0.20237,0.04762,0.05896,0.02074,2.77513,3.54681,2.68797,0.000557,0.000557,0.000557
58,2512.75,1.3106,1.21516,1.27512,0.20237,0.04762,0.05896,0.02074,2.77513,3.54681,2.68797,0.000544625,0.000544625,0.000544625
59,2554.53,1.35881,1.21898,1.32422,0.29787,0.04762,0.06557,0.02246,2.78165,3.58384,2.68973,0.00053225,0.00053225,0.00053225
60,2596.7,1.28089,1.14972,1.28481,0.29787,0.04762,0.06557,0.02246,2.78165,3.58384,2.68973,0.000519875,0.000519875,0.000519875
61,2638.55,1.40104,1.29083,1.4009,0.28492,0.04762,0.06948,0.02439,2.81443,3.67093,2.71583,0.0005075,0.0005075,0.0005075
62,2681.66,1.32731,1.18701,1.33382,0.28492,0.04762,0.06948,0.02439,2.81443,3.67093,2.71583,0.000495125,0.000495125,0.000495125
63,2724.12,1.22098,1.08763,1.28846,0.14338,0.05952,0.07314,0.02881,2.83837,3.72706,2.80725,0.00048275,0.00048275,0.00048275
64,2768.08,1.20884,1.06167,1.23512,0.14338,0.05952,0.07314,0.02881,2.83837,3.72706,2.80725,0.000470375,0.000470375,0.000470375
65,2809.87,1.37295,1.04994,1.25517,0.12022,0.05396,0.06986,0.02843,2.86059,3.77146,2.82584,0.000458,0.000458,0.000458
66,2861.55,1.31671,1.2091,1.32182,0.12022,0.05396,0.06986,0.02843,2.86059,3.77146,2.82584,0.000445625,0.000445625,0.000445625
67,2903.73,1.22533,1.02075,1.21768,0.12485,0.05952,0.06652,0.02804,2.77113,3.88969,2.68472,0.00043325,0.00043325,0.00043325
68,2946.53,1.19708,1.06069,1.20767,0.12485,0.05952,0.06652,0.02804,2.77113,3.88969,2.68472,0.000420875,0.000420875,0.000420875
69,2988.5,1.2713,1.09883,1.34093,0.12874,0.04762,0.06022,0.02513,2.709,4.02976,2.63917,0.0004085,0.0004085,0.0004085
70,3032.04,1.13478,0.99902,1.2191,0.12874,0.04762,0.06022,0.02513,2.709,4.02976,2.63917,0.000396125,0.000396125,0.000396125
