epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1324.56,0.06432,0.12926,0.87562,0.74859,0.91687,0.93951,0.96946,0.74365,0.34421,0.35006,0.17495,0.04546,0.06058,0.53173,0.68507,0.76678,0.0671264,0.000332056,0.000332056
2,2606.05,0.06262,0.12012,0.72746,0.74453,0.90682,0.94337,0.97524,0.72714,0.91382,0.91436,0.95746,0.54894,0.06134,0.15585,0.63748,0.79319,0.0341198,0.000658802,0.000658802
3,3457.71,0.06166,0.1174,0.69194,0.74412,0.94273,0.94337,0.98001,0.77475,0.94273,0.94337,0.98047,0.66327,0.05439,0.11527,0.54017,0.71977,0.00110666,0.000978948,0.000978948
4,4223.54,0.06094,0.11542,0.65132,0.74223,0.94976,0.95238,0.9801,0.77965,0.94463,0.94723,0.973,0.66404,0.05497,0.11173,0.53414,0.71529,0.0009703,0.0009703,0.0009703
5,4955.63,0.06014,0.11456,0.6343,0.7387,0.95124,0.95238,0.98351,0.78029,0.94996,0.95109,0.98255,0.68792,0.0539,0.10847,0.49715,0.71196,0.0009604,0.0009604,0.0009604
6,5688.28,0.05886,0.11236,0.61067,0.73318,0.93589,0.95882,0.98225,0.79006,0.93176,0.95495,0.9794,0.62241,0.05213,0.12876,0.47817,0.69905,0.0009505,0.0009505,0.0009505
7,6406.06,0.05895,0.11307,0.60235,0.7339,0.94992,0.95203,0.98165,0.79198,0.94735,0.94945,0.9812,0.69052,0.05277,0.11224,0.46742,0.71306,0.0009406,0.0009406,0.0009406
8,7119.23,0.05874,0.11094,0.6058,0.73428,0.94158,0.95413,0.98136,0.81612,0.94031,0.95284,0.97894,0.70487,0.04966,0.10545,0.46061,0.68548,0.0009307,0.0009307,0.0009307
9,7819.98,0.05766,0.10948,0.58941,0.72791,0.94974,0.94723,0.98536,0.80663,0.94974,0.94723,0.98536,0.72406,0.0516,0.10171,0.4636,0.70328,0.0009208,0.0009208,0.0009208
10,8511.3,0.05681,0.10742,0.56861,0.72167,0.93263,0.96202,0.98647,0.80648,0.93263,0.96202,0.98628,0.71521,0.04989,0.10274,0.43821,0.68888,0.0009109,0.0009109,0.0009109
11,9200.4,0.05671,0.10727,0.57086,0.72855,0.94574,0.95367,0.98644,0.81115,0.94574,0.95367,0.98643,0.72942,0.04964,0.09847,0.43878,0.68373,0.000901,0.000901,0.000901
12,9899.88,0.05636,0.10822,0.55865,0.72522,0.9477,0.95621,0.97802,0.79894,0.94537,0.95753,0.97807,0.72864,0.04902,0.09922,0.45327,0.67842,0.0008911,0.0008911,0.0008911
13,10578.7,0.05673,0.10756,0.5617,0.72429,0.94699,0.95367,0.98257,0.8145,0.94572,0.95238,0.98224,0.73083,0.04843,0.09561,0.44247,0.67728,0.0008812,0.0008812,0.0008812
14,11245,0.05614,0.10549,0.5597,0.72277,0.94584,0.94852,0.98264,0.81166,0.94712,0.94981,0.98289,0.73112,0.04963,0.09428,0.43033,0.68543,0.0008713,0.0008713,0.0008713
15,12118.4,0.05621,0.10598,0.55154,0.7232,0.94369,0.94899,0.98122,0.81208,0.94369,0.94899,0.98122,0.72877,0.04822,0.09834,0.44271,0.67369,0.0008614,0.0008614,0.0008614
16,13329.1,0.05545,0.10552,0.54048,0.72501,0.93217,0.96139,0.98093,0.81553,0.93356,0.96268,0.98158,0.73259,0.0482,0.09649,0.42991,0.67164,0.0008515,0.0008515,0.0008515
17,14393.9,0.05485,0.10428,0.5376,0.71207,0.95067,0.95109,0.98402,0.82291,0.95067,0.95109,0.98402,0.74779,0.04792,0.09213,0.41277,0.67059,0.0008416,0.0008416,0.0008416
18,15381.8,0.05485,0.10459,0.53744,0.7148,0.94817,0.9417,0.98192,0.81526,0.94817,0.9417,0.98209,0.72396,0.04886,0.10078,0.43665,0.6824,0.0008317,0.0008317,0.0008317
19,16177.7,0.05516,0.10461,0.53228,0.72131,0.94285,0.94981,0.9797,0.81256,0.94285,0.94981,0.97937,0.74486,0.05025,0.09329,0.43919,0.67967,0.0008218,0.0008218,0.0008218
20,16880,0.05491,0.10293,0.52497,0.71687,0.93813,0.95629,0.9835,0.8178,0.93813,0.95629,0.98352,0.73013,0.04736,0.09937,0.42617,0.66589,0.0008119,0.0008119,0.0008119
21,17583,0.05478,0.10277,0.52444,0.71767,0.96188,0.94723,0.98437,0.82665,0.96188,0.94723,0.98439,0.75744,0.04897,0.08978,0.41162,0.67374,0.000802,0.000802,0.000802
22,18322.5,0.05441,0.10171,0.51821,0.71477,0.95953,0.95624,0.98429,0.8159,0.95845,0.95495,0.98409,0.739,0.04906,0.09448,0.40832,0.68068,0.0007921,0.0007921,0.0007921
23,19059.1,0.05404,0.10236,0.51263,0.71316,0.95793,0.95109,0.98602,0.82287,0.95796,0.95238,0.9865,0.74387,0.04805,0.09224,0.39898,0.66764,0.0007822,0.0007822,0.0007822
24,19752.9,0.05378,0.10202,0.50588,0.71004,0.95975,0.95238,0.98701,0.819,0.96104,0.95367,0.98713,0.75224,0.0479,0.09128,0.406,0.67239,0.0007723,0.0007723,0.0007723
25,20594.8,0.05383,0.10297,0.5067,0.71133,0.96207,0.94662,0.98656,0.82781,0.96338,0.94791,0.9868,0.74545,0.04774,0.09439,0.39001,0.66831,0.0007624,0.0007624,0.0007624
26,21669.9,0.05423,0.10229,0.50512,0.71525,0.96714,0.94705,0.98712,0.82892,0.96714,0.94705,0.98712,0.75723,0.0468,0.08932,0.37669,0.65935,0.0007525,0.0007525,0.0007525
27,22764.9,0.05369,0.10136,0.4998,0.71083,0.94711,0.95882,0.98809,0.83115,0.94686,0.95882,0.98813,0.75995,0.04684,0.08895,0.37693,0.66136,0.0007426,0.0007426,0.0007426
28,23590.4,0.05278,0.10096,0.48401,0.70996,0.95948,0.94981,0.9862,0.839,0.95948,0.94981,0.9862,0.76032,0.0466,0.09162,0.3744,0.66014,0.0007327,0.0007327,0.0007327
29,24355.5,0.05325,0.10106,0.48886,0.70426,0.94342,0.96576,0.98825,0.83436,0.94418,0.96654,0.98825,0.76315,0.04642,0.08972,0.36902,0.65848,0.0007228,0.0007228,0.0007228
30,25119.6,0.05339,0.10076,0.49432,0.70924,0.94127,0.96938,0.97935,0.82129,0.94127,0.96938,0.97935,0.75325,0.04739,0.09005,0.40963,0.66555,0.0007129,0.0007129,0.0007129
31,25870.7,0.05288,0.10008,0.48125,0.69908,0.95774,0.96139,0.98908,0.84035,0.95861,0.96139,0.98892,0.76738,0.04553,0.08761,0.35856,0.65369,0.000703,0.000703,0.000703
32,26650.4,0.05278,0.10044,0.4762,0.70206,0.95794,0.97426,0.98999,0.83603,0.95794,0.97426,0.98999,0.76573,0.04665,0.08791,0.36853,0.66124,0.0006931,0.0006931,0.0006931
33,27497.6,0.05245,0.10047,0.48528,0.69934,0.95316,0.96139,0.98626,0.82907,0.95316,0.96139,0.98626,0.75164,0.0461,0.08951,0.37024,0.66215,0.0006832,0.0006832,0.0006832
34,28230.4,0.05272,0.1011,0.47932,0.70516,0.96241,0.95559,0.98538,0.83309,0.96502,0.95876,0.98572,0.76279,0.04607,0.08956,0.37225,0.66219,0.0006733,0.0006733,0.0006733
35,28954.6,0.0521,0.09933,0.47646,0.70188,0.96018,0.96194,0.98865,0.83826,0.96018,0.96194,0.98865,0.76548,0.04556,0.0873,0.36995,0.65222,0.0006634,0.0006634,0.0006634
36,29599.3,0.0522,0.09935,0.47034,0.70068,0.97111,0.95182,0.98869,0.83952,0.97111,0.95182,0.98869,0.76585,0.04608,0.0885,0.3766,0.65668,0.0006535,0.0006535,0.0006535
37,30231.8,0.05206,0.09863,0.47052,0.70225,0.9675,0.95795,0.98942,0.83838,0.9675,0.95795,0.98942,0.76117,0.04583,0.08817,0.36548,0.65543,0.0006436,0.0006436,0.0006436
38,31300.3,0.05181,0.0986,0.47099,0.7013,0.9544,0.96967,0.98765,0.84156,0.95313,0.96838,0.98743,0.771,0.04537,0.08741,0.35698,0.65142,0.0006337,0.0006337,0.0006337
39,32232,0.0525,0.09948,0.4717,0.7063,0.96596,0.96396,0.99029,0.8403,0.96596,0.96396,0.99029,0.76997,0.04625,0.08779,0.3789,0.65704,0.0006238,0.0006238,0.0006238
