epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.0874,1.58393,3.67984,3.16382,1.22708,0.032,0.35556,0.08662,0.02722,0,0,0,0,2.05491,78.4818,2.94483,1.50459,0.09604,4e-05,4e-05
2,76.1878,1.51748,2.68086,2.22654,1.11109,0.063,0.7,0.20406,0.05903,0,0,0,0,2.4453,155.272,2.62491,1.55996,0.0910882,8.8218e-05,8.8218e-05
3,110.859,1.43374,2.51971,1.66897,1.07445,0.05867,0.65185,0.18137,0.04517,0,0,0,0,2.53917,162.742,2.64612,1.60463,0.0861345,0.000134456,0.000134456
4,146.962,1.51988,2.51438,1.55659,1.05789,0.04767,0.52963,0.09474,0.02163,0,0,0,0,2.40925,120.051,2.60884,1.64635,0.0811787,0.000178714,0.000178714
5,182.261,1.40527,2.32745,1.4631,1.08938,0.05867,0.65185,0.17895,0.04963,0,0,0,0,1.99673,92.0374,2.44025,1.45776,0.076221,0.000220992,0.000220992
6,216.411,1.37778,2.2242,1.39218,1.05035,0.058,0.64444,0.26303,0.07988,0,0,0,0,1.88888,76.1261,2.38193,1.39307,0.0712613,0.00026129,0.00026129
7,250.2,1.26264,1.97621,1.2574,1.05347,0.064,0.71111,0.46442,0.18478,0.00033,0.0037,0.00017,5e-05,1.66939,43.1068,2.25817,1.25453,0.0662996,0.000299608,0.000299608
8,284.01,1.30118,2.06169,1.17663,1.03435,0.35175,0.78519,0.65173,0.29908,0.02628,0.18148,0.03086,0.00673,1.50833,21.0962,2.11128,1.15743,0.0613359,0.000335946,0.000335946
9,319.298,1.28267,2.00677,1.15413,1.03547,0.81771,0.63134,0.79029,0.4181,0.41828,0.38889,0.24838,0.06544,1.40093,10.9494,1.97824,1.08996,0.0563703,0.000370304,0.000370304
10,353.36,1.264,2.0296,1.16706,1.05793,0.90588,0.55556,0.85642,0.49003,0.60771,0.40163,0.46921,0.15091,1.34941,7.61575,1.84139,1.05461,0.0514027,0.000402682,0.000402682
11,387.816,1.28067,1.98293,1.03752,1.04478,0.86767,0.67995,0.88222,0.4877,0.70098,0.56437,0.5915,0.2293,1.3379,5.75343,1.7688,1.0729,0.0464331,0.00043308,0.00043308
12,421.909,1.28293,1.96308,1.01519,1.05116,0.90117,0.82222,0.93635,0.53166,0.81491,0.74815,0.77653,0.33764,1.30937,4.34135,1.67239,1.08938,0.0414615,0.000461498,0.000461498
13,456.96,1.20572,1.85798,0.95735,1.02187,0.94095,0.90741,0.97962,0.59439,0.8795,0.84815,0.87955,0.3864,1.23624,3.90143,1.53435,1.06191,0.0364879,0.000487936,0.000487936
14,489.631,1.17701,1.75403,1.04615,1.02598,0.94095,0.90741,0.97962,0.59439,0.8795,0.84815,0.87955,0.3864,1.23624,3.90143,1.53435,1.06191,0.0315124,0.000512394,0.000512394
15,522.851,1.24016,1.854,0.98125,1.02434,0.96188,0.94074,0.98751,0.61937,0.91912,0.88389,0.91568,0.3985,1.22521,3.74355,1.38805,1.04766,0.0265349,0.000534872,0.000534872
16,555.683,1.22289,1.90576,0.9418,1.04321,0.96983,0.95251,0.98919,0.63396,0.92821,0.9099,0.93244,0.43747,1.22133,3.39414,1.267,1.03725,0.0215554,0.00055537,0.00055537
