epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.306,0.1088,0.20791,1.96307,0.78906,0.052,0.59035,0.13923,0.03677,0.01717,0.19489,0.03048,0.00518,0.19353,0.69776,2.64083,1.27418,0.08119,0.00019,0.00019
2,246.883,0.0963,0.1663,1.21573,0.7583,0.07542,0.8562,0.42767,0.18139,0.009,0.10218,0.02176,0.005,0.12807,0.86896,2.39173,0.92725,0.0613861,0.000386139,0.000386139
3,367.06,0.09263,0.1507,1.06596,0.73637,0.0825,0.93661,0.80054,0.39605,0.25318,0.35667,0.22081,0.05243,0.11232,0.54115,2.22317,0.8523,0.0415783,0.000578318,0.000578318
4,518.665,0.0884,0.14147,0.93124,0.7181,0.93304,0.87007,0.94933,0.595,0.87167,0.78524,0.83055,0.34823,0.08752,0.24289,1.39514,0.75135,0.0217665,0.000766537,0.000766537
5,678.95,0.08774,0.14068,0.88957,0.72399,0.94399,0.91864,0.96773,0.61525,0.91857,0.88553,0.93011,0.48323,0.08343,0.17323,0.92332,0.73142,0.0019508,0.000950796,0.000950796
6,840.042,0.08403,0.13136,0.85388,0.71712,0.94887,0.93058,0.96942,0.63081,0.92492,0.89782,0.93013,0.46804,0.07947,0.16649,0.78731,0.72019,0.0009505,0.0009505,0.0009505
7,1000.52,0.08506,0.13459,0.84018,0.70841,0.96251,0.9472,0.98025,0.63667,0.95626,0.92904,0.96528,0.52821,0.0799,0.13662,0.77873,0.73213,0.0009406,0.0009406,0.0009406
8,1153.73,0.08198,0.13028,0.81166,0.7001,0.96131,0.95932,0.98214,0.66767,0.95129,0.9508,0.97113,0.54212,0.07316,0.12677,0.73768,0.69585,0.0009307,0.0009307,0.0009307
9,1315.24,0.08276,0.1272,0.79446,0.69863,0.96913,0.9503,0.98411,0.67745,0.9566,0.93845,0.96999,0.57522,0.07327,0.11626,0.70817,0.69494,0.0009208,0.0009208,0.0009208
10,1479.57,0.08114,0.12519,0.76607,0.69961,0.96923,0.95356,0.9853,0.68042,0.96643,0.9404,0.97304,0.53899,0.07334,0.12204,0.70267,0.69711,0.0009109,0.0009109,0.0009109
11,1646.13,0.0788,0.12164,0.75155,0.69732,0.97041,0.9617,0.98669,0.68629,0.96104,0.95671,0.97627,0.58034,0.07192,0.11139,0.68281,0.69302,0.000901,0.000901,0.000901
12,1802.12,0.08019,0.1232,0.77003,0.70703,0.97041,0.96186,0.98829,0.69093,0.965,0.93918,0.97231,0.56356,0.07199,0.11466,0.6803,0.6923,0.0008911,0.0008911,0.0008911
13,1967.82,0.07947,0.12239,0.74621,0.69039,0.97527,0.95837,0.98859,0.6823,0.96853,0.95175,0.97824,0.56786,0.07207,0.10628,0.67031,0.69647,0.0008812,0.0008812,0.0008812
14,2121.4,0.07873,0.11883,0.74716,0.68705,0.97512,0.96395,0.98742,0.68072,0.96938,0.9584,0.97754,0.60431,0.07222,0.10393,0.67099,0.68605,0.0008713,0.0008713,0.0008713
15,2270.58,0.07655,0.11601,0.73049,0.68105,0.97692,0.96878,0.98924,0.68505,0.96738,0.95932,0.98102,0.57172,0.07057,0.10539,0.66372,0.68357,0.0008614,0.0008614,0.0008614
16,2426.28,0.07853,0.11678,0.71282,0.66995,0.97799,0.96672,0.98885,0.69396,0.97223,0.96051,0.98175,0.58674,0.06949,0.10335,0.64917,0.68338,0.0008515,0.0008515,0.0008515
17,2575.64,0.0741,0.10901,0.69447,0.67794,0.97189,0.96689,0.98842,0.69798,0.96334,0.95837,0.98088,0.56332,0.06885,0.10351,0.64404,0.68361,0.0008416,0.0008416,0.0008416
18,2732.47,0.07447,0.11075,0.70592,0.67256,0.98547,0.96262,0.98935,0.6924,0.97868,0.95555,0.97868,0.57134,0.06989,0.10138,0.64668,0.68037,0.0008317,0.0008317,0.0008317
19,2885.84,0.07586,0.11607,0.7118,0.6726,0.97765,0.96878,0.9886,0.70483,0.96906,0.96026,0.97882,0.61011,0.0684,0.09919,0.63035,0.67693,0.0008218,0.0008218,0.0008218
20,3038.36,0.07461,0.11106,0.69404,0.6765,0.97252,0.96878,0.98746,0.70333,0.96818,0.96405,0.98266,0.60552,0.06766,0.10249,0.63284,0.67759,0.0008119,0.0008119,0.0008119
21,3189.97,0.0734,0.11028,0.6773,0.6679,0.98456,0.96518,0.98846,0.71019,0.97787,0.96157,0.98355,0.60032,0.06636,0.09787,0.61899,0.67182,0.000802,0.000802,0.000802
22,3338.24,0.07356,0.11017,0.68945,0.66847,0.97985,0.96602,0.98899,0.71094,0.97973,0.96048,0.98069,0.59121,0.06614,0.0979,0.61821,0.67128,0.0007921,0.0007921,0.0007921
23,3496.27,0.07358,0.11076,0.67598,0.66672,0.98087,0.97003,0.98934,0.71242,0.97244,0.96793,0.98141,0.57541,0.06643,0.10266,0.61845,0.67185,0.0007822,0.0007822,0.0007822
24,3651.74,0.07034,0.10558,0.65985,0.66742,0.98292,0.96689,0.98992,0.70954,0.97888,0.9631,0.98551,0.59522,0.06704,0.0978,0.60582,0.67763,0.0007723,0.0007723,0.0007723
25,3809.2,0.07296,0.11105,0.65689,0.66474,0.98787,0.96973,0.98995,0.71438,0.98116,0.96121,0.97981,0.59574,0.06583,0.09613,0.59793,0.67052,0.0007624,0.0007624,0.0007624
26,3975.99,0.07282,0.10908,0.65072,0.66136,0.98458,0.96636,0.98945,0.71712,0.97872,0.95744,0.98394,0.58366,0.06455,0.09672,0.59456,0.66648,0.0007525,0.0007525,0.0007525
27,4179.55,0.07137,0.1068,0.64305,0.651,0.98303,0.96973,0.9902,0.71899,0.97783,0.96405,0.9845,0.60719,0.06448,0.09717,0.57698,0.66554,0.0007426,0.0007426,0.0007426
28,4344.37,0.06933,0.10344,0.63218,0.66442,0.98287,0.97351,0.98988,0.71517,0.97797,0.96583,0.98298,0.59863,0.06581,0.09649,0.57851,0.67192,0.0007327,0.0007327,0.0007327
29,4509.19,0.07072,0.10906,0.63319,0.66263,0.98471,0.97492,0.9913,0.72849,0.97993,0.97012,0.9877,0.60497,0.06403,0.09641,0.56459,0.66518,0.0007228,0.0007228,0.0007228
30,4675.31,0.07109,0.10551,0.63743,0.66524,0.98442,0.97446,0.99171,0.72622,0.97899,0.96991,0.98994,0.61059,0.06384,0.09528,0.56547,0.66436,0.0007129,0.0007129,0.0007129
31,4841.62,0.0713,0.10821,0.64115,0.65955,0.98276,0.97097,0.9913,0.72124,0.98452,0.96295,0.98922,0.59335,0.06431,0.09481,0.57546,0.66553,0.000703,0.000703,0.000703
32,5001.29,0.07047,0.10481,0.62541,0.65903,0.98577,0.97067,0.99119,0.72293,0.97994,0.965,0.98269,0.61653,0.06393,0.09551,0.56952,0.6626,0.0006931,0.0006931,0.0006931
33,5160.12,0.07101,0.10877,0.62016,0.65393,0.98381,0.97256,0.99116,0.71817,0.97801,0.96878,0.98889,0.60439,0.06476,0.09431,0.56651,0.66876,0.0006832,0.0006832,0.0006832
